2021.4.19 10:12:41:461   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.03, -0.01)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:470   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.03, -0.01)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:481   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.02, -0.02)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:492   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.01, -0.02)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:504   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(0.05, 0.00, -0.02)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:517   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(0.05, 0.00, -0.02)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:526   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(0.05, 0.01, -0.02)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:537   leftController:(0.25, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(0.05, 0.01, -0.02)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:549   leftController:(0.25, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(0.06, 0.00, -0.02)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:560   leftController:(0.25, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(0.06, 0.00, -0.01)  rightControllerVel:(0.03, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
