2021.4.19 15:53:00:983   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(-0.03, -0.09, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:995   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.01, -0.03, 0.03)  rightControllerVel:(-0.03, -0.08, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:05   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.00, -0.01, 0.03)  rightControllerVel:(-0.04, -0.09, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:16   leftController:(0.17, 1.09, 0.41)  rightController:(-0.25, 1.09, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.01, 0.00, 0.03)  rightControllerVel:(-0.04, -0.08, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:27   leftController:(0.17, 1.09, 0.41)  rightController:(-0.25, 1.08, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.02, 0.01, 0.03)  rightControllerVel:(-0.03, -0.07, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:38   leftController:(0.17, 1.09, 0.41)  rightController:(-0.25, 1.08, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.03, 0.02, 0.03)  rightControllerVel:(-0.02, -0.06, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:49   leftController:(0.17, 1.09, 0.41)  rightController:(-0.25, 1.08, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.04, 0.04, 0.03)  rightControllerVel:(-0.02, -0.04, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:60   leftController:(0.17, 1.09, 0.41)  rightController:(-0.25, 1.08, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.03, 0.05, 0.03)  rightControllerVel:(-0.02, -0.02, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:72   leftController:(0.17, 1.10, 0.41)  rightController:(-0.25, 1.08, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.02, 0.06, 0.03)  rightControllerVel:(-0.02, -0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:01:83   leftController:(0.17, 1.10, 0.41)  rightController:(-0.25, 1.08, 0.44)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.55, 0.23)  leftControllerVel:(-0.02, 0.06, 0.03)  rightControllerVel:(-0.02, 0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
