2021.4.19 10:36:13:833   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:845   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:856   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:867   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:878   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.03, -0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:889   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.03, -0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:901   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.04, -0.03, 0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:912   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.04, -0.03, 0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:923   leftController:(0.10, 1.15, 0.21)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.04, -0.03, 0.03)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:934   leftController:(0.11, 1.15, 0.21)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.04, -0.04, 0.03)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
