2021.4.7 14:36:17:219   leftController:(0.24, 1.13, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, -0.44, -0.03)  rightControllerVel:(0.02, 0.15, 0.09)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:233   leftController:(0.24, 1.13, 0.35)  rightController:(-0.09, 0.94, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, -0.35, -0.07)  rightControllerVel:(0.01, 0.19, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:241   leftController:(0.24, 1.12, 0.35)  rightController:(-0.09, 0.94, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.07, -0.33, -0.07)  rightControllerVel:(0.02, 0.23, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:250   leftController:(0.24, 1.12, 0.35)  rightController:(-0.09, 0.94, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, -0.28, -0.09)  rightControllerVel:(0.04, 0.25, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:263   leftController:(0.24, 1.12, 0.35)  rightController:(-0.09, 0.94, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.05, -0.22, -0.10)  rightControllerVel:(0.04, 0.28, 0.12)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:36:17:271   leftController:(0.24, 1.12, 0.35)  rightController:(-0.09, 0.95, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.05, -0.16, -0.11)  rightControllerVel:(0.04, 0.31, 0.13)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:36:17:280   leftController:(0.24, 1.12, 0.35)  rightController:(-0.09, 0.95, 0.32)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.05, -0.10, -0.12)  rightControllerVel:(0.04, 0.36, 0.14)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:36:17:289   leftController:(0.24, 1.12, 0.35)  rightController:(-0.09, 0.95, 0.32)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, 0.00, -0.13)  rightControllerVel:(0.03, 0.41, 0.13)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.7 14:36:17:300   leftController:(0.25, 1.12, 0.34)  rightController:(-0.09, 0.96, 0.32)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, 0.07, -0.12)  rightControllerVel:(0.04, 0.54, 0.13)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.7 14:36:17:323   leftController:(0.25, 1.12, 0.34)  rightController:(-0.09, 0.97, 0.32)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.03, 0.24, -0.10)  rightControllerVel:(0.06, 0.69, 0.10)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, -0.01)
