2021.4.7 15:04:33:211   leftController:(0.26, 0.88, 0.46)  rightController:(-0.07, 0.91, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.05, -0.92, -0.41)  rightControllerVel:(-0.11, -0.71, -0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:220   leftController:(0.26, 0.87, 0.45)  rightController:(-0.07, 0.90, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.07, -0.92, -0.42)  rightControllerVel:(-0.13, -0.72, -0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:230   leftController:(0.26, 0.86, 0.45)  rightController:(-0.07, 0.89, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.09, -0.91, -0.43)  rightControllerVel:(-0.15, -0.73, -0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:246   leftController:(0.26, 0.85, 0.44)  rightController:(-0.07, 0.88, 0.43)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.13, -0.90, -0.45)  rightControllerVel:(-0.18, -0.72, -0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:257   leftController:(0.27, 0.84, 0.44)  rightController:(-0.07, 0.87, 0.43)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.17, -0.88, -0.47)  rightControllerVel:(-0.19, -0.72, -0.21)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:271   leftController:(0.27, 0.83, 0.43)  rightController:(-0.08, 0.87, 0.43)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.21, -0.84, -0.48)  rightControllerVel:(-0.22, -0.69, -0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:282   leftController:(0.27, 0.82, 0.43)  rightController:(-0.08, 0.86, 0.42)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.24, -0.80, -0.49)  rightControllerVel:(-0.24, -0.66, -0.26)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:295   leftController:(0.28, 0.81, 0.42)  rightController:(-0.08, 0.85, 0.42)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.27, -0.73, -0.50)  rightControllerVel:(-0.25, -0.64, -0.29)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:304   leftController:(0.28, 0.80, 0.42)  rightController:(-0.09, 0.84, 0.42)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.29, -0.69, -0.50)  rightControllerVel:(-0.25, -0.60, -0.30)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:313   leftController:(0.28, 0.80, 0.41)  rightController:(-0.09, 0.84, 0.42)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.31, -0.62, -0.50)  rightControllerVel:(-0.23, -0.55, -0.31)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:323   leftController:(0.28, 0.79, 0.41)  rightController:(-0.09, 0.83, 0.41)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.32, -0.57, -0.50)  rightControllerVel:(-0.20, -0.50, -0.30)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
