2021.4.6 18:03:34:250   leftController:(-0.15, 0.79, 0.22)  rightController:(0.17, 1.17, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.21, 0.61, 0.76)  rightControllerVel:(0.09, 0.25, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:262   leftController:(-0.15, 0.80, 0.23)  rightController:(0.17, 1.17, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.21, 0.64, 0.78)  rightControllerVel:(0.09, 0.26, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:273   leftController:(-0.15, 0.81, 0.24)  rightController:(0.17, 1.17, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.22, 0.72, 0.80)  rightControllerVel:(0.11, 0.27, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:284   leftController:(-0.14, 0.82, 0.25)  rightController:(0.17, 1.17, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.23, 0.75, 0.81)  rightControllerVel:(0.11, 0.27, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:295   leftController:(-0.14, 0.82, 0.26)  rightController:(0.17, 1.18, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.23, 0.81, 0.81)  rightControllerVel:(0.11, 0.27, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:306   leftController:(-0.14, 0.83, 0.27)  rightController:(0.17, 1.18, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.23, 0.86, 0.81)  rightControllerVel:(0.12, 0.28, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:317   leftController:(-0.14, 0.84, 0.28)  rightController:(0.17, 1.18, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.23, 0.89, 0.81)  rightControllerVel:(0.12, 0.28, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:328   leftController:(-0.14, 0.86, 0.29)  rightController:(0.18, 1.19, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.22, 0.95, 0.80)  rightControllerVel:(0.12, 0.28, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:339   leftController:(-0.13, 0.87, 0.29)  rightController:(0.18, 1.19, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.21, 1.01, 0.79)  rightControllerVel:(0.11, 0.28, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:351   leftController:(-0.13, 0.88, 0.30)  rightController:(0.18, 1.19, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.20, 1.04, 0.78)  rightControllerVel:(0.11, 0.28, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
