2021.4.16 16:35:15:368   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.07, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:378   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.08, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:392   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.09, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:399   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.09, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:410   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.09, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:421   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.09, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:432   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.10, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:445   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.10, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:455   leftController:(0.23, 1.15, 0.04)  rightController:(0.51, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.10, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:466   leftController:(0.23, 1.15, 0.04)  rightController:(0.51, 1.08, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.10, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:477   leftController:(0.23, 1.15, 0.04)  rightController:(0.51, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.11, -0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:488   leftController:(0.23, 1.15, 0.04)  rightController:(0.51, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.03, 0.03)  rightControllerVel:(0.12, -0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:499   leftController:(0.23, 1.15, 0.04)  rightController:(0.51, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.03, 0.03)  rightControllerVel:(0.12, -0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:511   leftController:(0.23, 1.14, 0.04)  rightController:(0.51, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.03, 0.03)  rightControllerVel:(0.12, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:523   leftController:(0.23, 1.14, 0.04)  rightController:(0.51, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.04, 0.03)  rightControllerVel:(0.12, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:533   leftController:(0.23, 1.14, 0.04)  rightController:(0.51, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.05, 0.04)  rightControllerVel:(0.12, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:544   leftController:(0.23, 1.14, 0.04)  rightController:(0.52, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.06, 0.04)  rightControllerVel:(0.12, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:558   leftController:(0.23, 1.14, 0.04)  rightController:(0.52, 1.07, -0.01)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.03, -0.07, 0.05)  rightControllerVel:(0.13, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
