2021.4.16 16:57:36:310   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:321   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:333   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:345   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:355   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:366   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:377   leftController:(0.09, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:388   leftController:(0.09, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:399   leftController:(0.09, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, 0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:410   leftController:(0.09, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.03, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
