2021.4.16 15:35:40:988   leftController:(-0.27, 1.33, 0.03)  rightController:(0.09, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, 0.02, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:999   leftController:(-0.27, 1.33, 0.03)  rightController:(0.09, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:12   leftController:(-0.27, 1.33, 0.03)  rightController:(0.09, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:21   leftController:(-0.27, 1.33, 0.03)  rightController:(0.09, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:32   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.02, -0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:44   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.23)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(-0.02, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:56   leftController:(-0.27, 1.32, 0.03)  rightController:(0.08, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.23)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(-0.03, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:65   leftController:(-0.27, 1.32, 0.03)  rightController:(0.08, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.56, -0.23)  leftControllerVel:(-0.02, -0.03, 0.01)  rightControllerVel:(-0.03, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:77   leftController:(-0.27, 1.32, 0.03)  rightController:(0.08, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.56, -0.23)  leftControllerVel:(-0.03, -0.03, 0.01)  rightControllerVel:(-0.03, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:41:88   leftController:(-0.27, 1.32, 0.03)  rightController:(0.08, 1.14, -0.01)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.56, -0.23)  leftControllerVel:(-0.03, -0.03, 0.01)  rightControllerVel:(-0.02, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
