2021.4.5 14:45:42:325   leftController:(0.09, 1.19, 0.31)  rightController:(-0.22, 1.12, 0.34)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:336   leftController:(0.09, 1.19, 0.31)  rightController:(-0.22, 1.12, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:349   leftController:(0.09, 1.19, 0.31)  rightController:(-0.22, 1.11, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:359   leftController:(0.09, 1.18, 0.31)  rightController:(-0.22, 1.11, 0.34)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:373   leftController:(0.09, 1.18, 0.31)  rightController:(-0.22, 1.10, 0.34)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:383   leftController:(0.09, 1.18, 0.31)  rightController:(-0.22, 1.10, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:392   leftController:(0.09, 1.17, 0.31)  rightController:(-0.22, 1.10, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:402   leftController:(0.09, 1.17, 0.31)  rightController:(-0.22, 1.09, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:411   leftController:(0.08, 1.17, 0.32)  rightController:(-0.22, 1.09, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:427   leftController:(0.08, 1.16, 0.32)  rightController:(-0.22, 1.09, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:441   leftController:(0.08, 1.16, 0.32)  rightController:(-0.22, 1.08, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:454   leftController:(0.08, 1.15, 0.32)  rightController:(-0.22, 1.08, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:465   leftController:(0.08, 1.15, 0.32)  rightController:(-0.22, 1.08, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:478   leftController:(0.08, 1.14, 0.32)  rightController:(-0.22, 1.08, 0.33)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.07)
2021.4.5 14:45:42:498   leftController:(0.07, 1.14, 0.32)  rightController:(-0.21, 1.07, 0.33)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:522   leftController:(0.07, 1.13, 0.32)  rightController:(-0.21, 1.07, 0.33)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:543   leftController:(0.06, 1.13, 0.32)  rightController:(-0.21, 1.07, 0.33)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:565   leftController:(0.06, 1.12, 0.31)  rightController:(-0.20, 1.06, 0.32)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:594   leftController:(0.05, 1.11, 0.31)  rightController:(-0.20, 1.06, 0.32)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:610   leftController:(0.05, 1.11, 0.31)  rightController:(-0.20, 1.06, 0.32)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:632   leftController:(0.04, 1.11, 0.31)  rightController:(-0.19, 1.05, 0.32)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:656   leftController:(0.03, 1.10, 0.31)  rightController:(-0.19, 1.05, 0.32)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:677   leftController:(0.03, 1.10, 0.31)  rightController:(-0.18, 1.04, 0.31)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:698   leftController:(0.02, 1.10, 0.30)  rightController:(-0.18, 1.04, 0.31)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.06, 1.53, 0.06)
2021.4.5 14:45:42:725   leftController:(0.02, 1.10, 0.30)  rightController:(-0.17, 1.04, 0.31)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.07, 1.53, 0.06)
2021.4.5 14:45:42:749   leftController:(0.01, 1.10, 0.30)  rightController:(-0.17, 1.04, 0.31)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.07, 1.53, 0.06)
2021.4.5 14:45:42:765   leftController:(0.01, 1.09, 0.30)  rightController:(-0.17, 1.04, 0.31)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.07, 1.53, 0.06)
2021.4.5 14:45:42:789   leftController:(0.01, 1.10, 0.30)  rightController:(-0.17, 1.03, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.07, 1.53, 0.06)
2021.4.5 14:45:42:814   leftController:(0.01, 1.10, 0.30)  rightController:(-0.17, 1.03, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.07, 1.53, 0.06)
