2021.4.5 14:54:28:136   leftController:(0.24, 1.14, 0.28)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:158   leftController:(0.24, 1.14, 0.28)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:186   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:203   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:226   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:248   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:285   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:295   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:314   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:337   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
