2021.4.5 20:06:55:242   leftController:(0.38, 1.09, 0.28)  rightController:(-0.12, 1.04, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:255   leftController:(0.38, 1.08, 0.28)  rightController:(-0.13, 1.04, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:264   leftController:(0.38, 1.08, 0.28)  rightController:(-0.13, 1.04, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:273   leftController:(0.38, 1.08, 0.28)  rightController:(-0.13, 1.04, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:285   leftController:(0.38, 1.08, 0.28)  rightController:(-0.13, 1.04, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:299   leftController:(0.39, 1.08, 0.28)  rightController:(-0.14, 1.04, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:313   leftController:(0.39, 1.08, 0.28)  rightController:(-0.14, 1.04, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:324   leftController:(0.39, 1.08, 0.28)  rightController:(-0.14, 1.04, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:338   leftController:(0.39, 1.08, 0.28)  rightController:(-0.14, 1.04, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:347   leftController:(0.39, 1.08, 0.28)  rightController:(-0.15, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:355   leftController:(0.39, 1.07, 0.28)  rightController:(-0.15, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:364   leftController:(0.39, 1.07, 0.28)  rightController:(-0.15, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:373   leftController:(0.39, 1.07, 0.28)  rightController:(-0.15, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:383   leftController:(0.40, 1.07, 0.28)  rightController:(-0.15, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:395   leftController:(0.40, 1.07, 0.28)  rightController:(-0.16, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
