2021.4.5 20:28:11:491   leftController:(-0.01, 1.14, 0.46)  rightController:(0.35, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.17, 1.61, 0.16)
2021.4.5 20:28:11:502   leftController:(-0.01, 1.14, 0.46)  rightController:(0.35, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.17, 1.61, 0.16)
2021.4.5 20:28:11:515   leftController:(-0.01, 1.14, 0.46)  rightController:(0.35, 1.11, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.17, 1.61, 0.17)
2021.4.5 20:28:11:524   leftController:(-0.01, 1.14, 0.46)  rightController:(0.35, 1.11, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.17, 1.61, 0.17)
2021.4.5 20:28:11:534   leftController:(-0.01, 1.14, 0.45)  rightController:(0.35, 1.11, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.17, 1.61, 0.17)
2021.4.5 20:28:11:542   leftController:(-0.01, 1.14, 0.45)  rightController:(0.35, 1.11, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.17)
2021.4.5 20:28:11:553   leftController:(-0.01, 1.14, 0.45)  rightController:(0.35, 1.11, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.17)
2021.4.5 20:28:11:564   leftController:(-0.01, 1.15, 0.45)  rightController:(0.34, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.17)
2021.4.5 20:28:11:581   leftController:(-0.02, 1.15, 0.44)  rightController:(0.34, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.17)
2021.4.5 20:28:11:590   leftController:(-0.02, 1.15, 0.44)  rightController:(0.34, 1.12, 0.44)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.18)
