2021.4.5 20:15:00:553   leftController:(-0.03, 1.14, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:565   leftController:(-0.03, 1.14, 0.20)  rightController:(0.21, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:577   leftController:(-0.03, 1.14, 0.20)  rightController:(0.21, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:591   leftController:(-0.03, 1.14, 0.20)  rightController:(0.21, 1.11, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:601   leftController:(-0.04, 1.14, 0.20)  rightController:(0.21, 1.11, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:611   leftController:(-0.04, 1.14, 0.20)  rightController:(0.21, 1.11, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:624   leftController:(-0.04, 1.15, 0.20)  rightController:(0.21, 1.12, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:634   leftController:(-0.04, 1.15, 0.20)  rightController:(0.21, 1.12, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:643   leftController:(-0.04, 1.15, 0.20)  rightController:(0.21, 1.12, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:655   leftController:(-0.04, 1.15, 0.20)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:666   leftController:(-0.04, 1.15, 0.20)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:677   leftController:(-0.04, 1.15, 0.21)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:690   leftController:(-0.04, 1.15, 0.21)  rightController:(0.21, 1.12, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:701   leftController:(-0.04, 1.14, 0.21)  rightController:(0.21, 1.12, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:715   leftController:(-0.04, 1.14, 0.21)  rightController:(0.21, 1.12, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:724   leftController:(-0.04, 1.14, 0.21)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:732   leftController:(-0.04, 1.14, 0.21)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:743   leftController:(-0.04, 1.14, 0.21)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:756   leftController:(-0.04, 1.13, 0.21)  rightController:(0.21, 1.12, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:768   leftController:(-0.04, 1.13, 0.21)  rightController:(0.21, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:778   leftController:(-0.04, 1.13, 0.21)  rightController:(0.21, 1.11, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:789   leftController:(-0.04, 1.13, 0.21)  rightController:(0.21, 1.11, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:801   leftController:(-0.04, 1.12, 0.21)  rightController:(0.21, 1.10, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:814   leftController:(-0.04, 1.12, 0.21)  rightController:(0.21, 1.09, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:823   leftController:(-0.04, 1.12, 0.21)  rightController:(0.21, 1.09, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:833   leftController:(-0.04, 1.11, 0.21)  rightController:(0.21, 1.08, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:846   leftController:(-0.04, 1.11, 0.21)  rightController:(0.21, 1.08, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:855   leftController:(-0.04, 1.11, 0.21)  rightController:(0.21, 1.07, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:868   leftController:(-0.04, 1.10, 0.21)  rightController:(0.21, 1.06, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:883   leftController:(-0.04, 1.10, 0.21)  rightController:(0.21, 1.05, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:895   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.04, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
