2021.4.5 20:04:05:626   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:640   leftController:(0.33, 1.01, 0.23)  rightController:(-0.03, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.01)
2021.4.5 20:04:05:649   leftController:(0.33, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.01)
2021.4.5 20:04:05:658   leftController:(0.33, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.01)
2021.4.5 20:04:05:673   leftController:(0.33, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.01)
2021.4.5 20:04:05:684   leftController:(0.33, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.01)
2021.4.5 20:04:05:692   leftController:(0.32, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.01)
2021.4.5 20:04:05:703   leftController:(0.32, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:714   leftController:(0.32, 1.01, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:726   leftController:(0.32, 1.02, 0.23)  rightController:(-0.02, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:740   leftController:(0.32, 1.02, 0.23)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:750   leftController:(0.33, 1.02, 0.23)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:759   leftController:(0.33, 1.02, 0.23)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:772   leftController:(0.33, 1.02, 0.23)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, -0.01)
2021.4.5 20:04:05:782   leftController:(0.33, 1.02, 0.23)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:794   leftController:(0.33, 1.02, 0.24)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:805   leftController:(0.33, 1.02, 0.24)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:818   leftController:(0.33, 1.02, 0.24)  rightController:(-0.02, 0.97, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:832   leftController:(0.33, 1.02, 0.24)  rightController:(-0.02, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:842   leftController:(0.33, 1.02, 0.24)  rightController:(-0.02, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:853   leftController:(0.32, 1.03, 0.24)  rightController:(-0.02, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:865   leftController:(0.32, 1.03, 0.24)  rightController:(-0.02, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:876   leftController:(0.32, 1.02, 0.24)  rightController:(-0.02, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.63, 0.00)
2021.4.5 20:04:05:939   leftController:(0.32, 1.02, 0.24)  rightController:(-0.02, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.62, 0.00)
2021.4.5 20:04:05:950   leftController:(0.32, 1.02, 0.24)  rightController:(-0.01, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.62, 0.00)
2021.4.5 20:04:05:963   leftController:(0.32, 1.02, 0.24)  rightController:(-0.01, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.62, 0.00)
2021.4.5 20:04:05:972   leftController:(0.32, 1.02, 0.24)  rightController:(-0.01, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.62, 0.00)
2021.4.5 20:04:05:980   leftController:(0.32, 1.02, 0.24)  rightController:(-0.01, 0.98, 0.18)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.15, 1.62, 0.00)
