2021.4.4 15:36:58:633   leftController:(-0.11, 1.07, 0.36)  rightController:(0.18, 1.02, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
2021.4.4 15:36:58:642   leftController:(-0.11, 1.07, 0.36)  rightController:(0.18, 1.02, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
2021.4.4 15:36:58:651   leftController:(-0.12, 1.07, 0.36)  rightController:(0.17, 1.01, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
2021.4.4 15:36:58:661   leftController:(-0.12, 1.07, 0.36)  rightController:(0.17, 1.01, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
2021.4.4 15:36:58:674   leftController:(-0.12, 1.08, 0.37)  rightController:(0.17, 1.01, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
2021.4.4 15:36:58:685   leftController:(-0.13, 1.08, 0.37)  rightController:(0.17, 1.01, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.45, 0.13)
2021.4.4 15:36:58:702   leftController:(-0.13, 1.09, 0.37)  rightController:(0.17, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.44, 0.13)
2021.4.4 15:36:58:713   leftController:(-0.14, 1.09, 0.37)  rightController:(0.17, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.44, 0.13)
2021.4.4 15:36:58:723   leftController:(-0.14, 1.10, 0.37)  rightController:(0.16, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.44, 0.13)
2021.4.4 15:36:58:732   leftController:(-0.14, 1.10, 0.37)  rightController:(0.16, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.44, 0.13)
2021.4.4 15:36:58:741   leftController:(-0.15, 1.11, 0.37)  rightController:(0.16, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.44, 0.13)
2021.4.4 15:36:58:751   leftController:(-0.15, 1.12, 0.37)  rightController:(0.16, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.44, 0.13)
2021.4.4 15:36:58:762   leftController:(-0.15, 1.12, 0.37)  rightController:(0.16, 1.00, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.44, 0.13)
2021.4.4 15:36:58:773   leftController:(-0.15, 1.13, 0.37)  rightController:(0.16, 1.00, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.45, 0.13)
2021.4.4 15:36:58:786   leftController:(-0.16, 1.14, 0.37)  rightController:(0.15, 0.99, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.45, 0.13)
2021.4.4 15:36:58:799   leftController:(-0.16, 1.15, 0.37)  rightController:(0.15, 0.99, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.45, 0.13)
2021.4.4 15:36:58:812   leftController:(-0.16, 1.16, 0.37)  rightController:(0.15, 0.99, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.45, 0.13)
2021.4.4 15:36:58:822   leftController:(-0.16, 1.16, 0.37)  rightController:(0.15, 0.99, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.45, 0.13)
2021.4.4 15:36:58:830   leftController:(-0.17, 1.16, 0.37)  rightController:(0.15, 0.99, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.45, 0.13)
2021.4.4 15:36:58:840   leftController:(-0.17, 1.17, 0.37)  rightController:(0.14, 0.99, 0.29)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.45, 0.14)
