2021.4.4 16:38:02:874   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:887   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.31, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:900   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.31, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:912   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.31, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:924   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:942   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:951   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:962   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:974   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:984   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
2021.4.4 16:38:02:994   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.21)
2021.4.4 16:38:03:08   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.21)
2021.4.4 16:38:03:17   leftController:(-0.14, 1.18, 0.45)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.21)
2021.4.4 16:38:03:27   leftController:(-0.14, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:37   leftController:(-0.14, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:46   leftController:(-0.14, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:54   leftController:(-0.14, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:65   leftController:(-0.13, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:76   leftController:(-0.13, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:86   leftController:(-0.13, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:98   leftController:(-0.12, 1.18, 0.46)  rightController:(-0.32, 1.15, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:107   leftController:(-0.12, 1.18, 0.46)  rightController:(-0.32, 1.16, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:118   leftController:(-0.11, 1.19, 0.46)  rightController:(-0.32, 1.16, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:129   leftController:(-0.11, 1.19, 0.46)  rightController:(-0.32, 1.17, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:140   leftController:(-0.10, 1.19, 0.46)  rightController:(-0.32, 1.17, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:153   leftController:(-0.10, 1.19, 0.46)  rightController:(-0.32, 1.17, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
