2021.4.4 16:44:03:995   leftController:(-0.07, 1.34, 0.60)  rightController:(-0.43, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:05   leftController:(-0.07, 1.34, 0.60)  rightController:(-0.43, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:14   leftController:(-0.07, 1.34, 0.60)  rightController:(-0.42, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:25   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.42, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:34   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.42, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:46   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.42, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:58   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.42, 1.30, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:71   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.42, 1.30, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:80   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.41, 1.30, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:95   leftController:(-0.08, 1.34, 0.60)  rightController:(-0.41, 1.30, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:104   leftController:(-0.08, 1.34, 0.59)  rightController:(-0.41, 1.30, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:114   leftController:(-0.08, 1.34, 0.59)  rightController:(-0.41, 1.29, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:125   leftController:(-0.08, 1.34, 0.59)  rightController:(-0.41, 1.29, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:135   leftController:(-0.08, 1.33, 0.59)  rightController:(-0.41, 1.29, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:04:147   leftController:(-0.08, 1.33, 0.59)  rightController:(-0.41, 1.29, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
