2021.4.4 16:53:15:19   leftController:(0.07, 1.15, 0.19)  rightController:(-0.18, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:28   leftController:(0.07, 1.15, 0.19)  rightController:(-0.19, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:39   leftController:(0.07, 1.15, 0.19)  rightController:(-0.19, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:52   leftController:(0.07, 1.14, 0.19)  rightController:(-0.19, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:61   leftController:(0.07, 1.14, 0.19)  rightController:(-0.19, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:70   leftController:(0.07, 1.14, 0.20)  rightController:(-0.20, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:81   leftController:(0.07, 1.14, 0.20)  rightController:(-0.20, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:89   leftController:(0.07, 1.13, 0.20)  rightController:(-0.20, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:107   leftController:(0.07, 1.12, 0.20)  rightController:(-0.20, 1.14, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:129   leftController:(0.07, 1.12, 0.20)  rightController:(-0.20, 1.15, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:152   leftController:(0.07, 1.10, 0.20)  rightController:(-0.20, 1.16, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:185   leftController:(0.07, 1.09, 0.20)  rightController:(-0.20, 1.17, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:197   leftController:(0.07, 1.09, 0.20)  rightController:(-0.20, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:220   leftController:(0.06, 1.09, 0.20)  rightController:(-0.20, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:241   leftController:(0.06, 1.09, 0.20)  rightController:(-0.19, 1.19, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:265   leftController:(0.06, 1.09, 0.20)  rightController:(-0.19, 1.19, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:286   leftController:(0.06, 1.09, 0.20)  rightController:(-0.19, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:309   leftController:(0.06, 1.09, 0.20)  rightController:(-0.19, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:15:339   leftController:(0.06, 1.09, 0.20)  rightController:(-0.18, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.57, -0.01)
2021.4.4 16:53:15:353   leftController:(0.06, 1.09, 0.19)  rightController:(-0.18, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.57, -0.01)
2021.4.4 16:53:15:376   leftController:(0.05, 1.10, 0.19)  rightController:(-0.18, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.57, -0.01)
2021.4.4 16:53:15:399   leftController:(0.05, 1.10, 0.19)  rightController:(-0.18, 1.17, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.57, -0.01)
2021.4.4 16:53:15:420   leftController:(0.05, 1.10, 0.19)  rightController:(-0.17, 1.16, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.57, -0.01)
2021.4.4 16:53:15:442   leftController:(0.05, 1.10, 0.19)  rightController:(-0.17, 1.16, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:468   leftController:(0.05, 1.10, 0.19)  rightController:(-0.17, 1.15, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:494   leftController:(0.05, 1.10, 0.19)  rightController:(-0.16, 1.14, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:512   leftController:(0.05, 1.10, 0.19)  rightController:(-0.16, 1.14, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
