2021.4.4 16:17:31:853   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:864   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:879   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:888   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:898   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:911   leftController:(0.03, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:921   leftController:(0.03, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:931   leftController:(0.04, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:942   leftController:(0.04, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:953   leftController:(0.04, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:968   leftController:(0.04, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:980   leftController:(0.04, 0.91, 0.37)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
2021.4.4 16:17:31:990   leftController:(0.04, 0.91, 0.37)  rightController:(-0.21, 0.93, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
