2021.4.4 15:20:22:315   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:325   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:333   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.02, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:344   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.02, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:357   leftController:(-0.39, 0.74, 0.35)  rightController:(-0.02, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:367   leftController:(-0.39, 0.74, 0.35)  rightController:(-0.02, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:378   leftController:(-0.39, 0.74, 0.35)  rightController:(-0.02, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:390   leftController:(-0.39, 0.74, 0.35)  rightController:(-0.01, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:400   leftController:(-0.39, 0.73, 0.35)  rightController:(-0.01, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:409   leftController:(-0.40, 0.73, 0.35)  rightController:(-0.01, 0.72, 0.35)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
