2021.4.17 16:31:06:987   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.05, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:998   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.05, -0.02, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:10   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.05, -0.02, -0.01)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:21   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:33   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:44   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:54   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.51, -0.20)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:65   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.51, -0.20)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:77   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.51, -0.20)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:88   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.51, -0.20)  leftControllerVel:(0.03, -0.02, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:99   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.51, -0.20)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:07:112   leftController:(0.10, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.51, -0.20)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
