2021.4.17 16:03:36:819   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.01, -0.01)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:830   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.06, -0.01, -0.01)  rightControllerVel:(0.00, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:842   leftController:(0.39, 1.15, 0.13)  rightController:(0.18, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.06, -0.01, -0.01)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:855   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.06, 0.00, -0.01)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:865   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.06, 0.00, -0.01)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:878   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.06, 0.00, -0.01)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:886   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.07, 0.00, -0.01)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:897   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.07, 0.00, -0.01)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:908   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.07, 0.00, 0.00)  rightControllerVel:(-0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:919   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.64, -0.10)  leftControllerVel:(0.07, 0.00, 0.00)  rightControllerVel:(-0.02, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
