2021.4.9 17:02:36:220   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.12, 0.01, -0.05)  rightControllerVel:(0.10, 0.03, 0.05)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:229   leftController:(0.26, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.11, 0.02, -0.05)  rightControllerVel:(0.10, 0.03, 0.06)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:245   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.11, 0.03, -0.05)  rightControllerVel:(0.09, 0.03, 0.07)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:253   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.11, 0.03, -0.05)  rightControllerVel:(0.09, 0.03, 0.07)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:262   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.11, 0.03, -0.05)  rightControllerVel:(0.09, 0.03, 0.07)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:274   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.10, 0.03, -0.05)  rightControllerVel:(0.08, 0.03, 0.07)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:287   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.04, 1.74, 0.08)  leftControllerVel:(0.09, 0.04, -0.05)  rightControllerVel:(0.07, 0.03, 0.08)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:296   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.08)  leftControllerVel:(0.09, 0.04, -0.05)  rightControllerVel:(0.06, 0.02, 0.08)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:308   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.08)  leftControllerVel:(0.09, 0.05, -0.06)  rightControllerVel:(0.06, 0.02, 0.09)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:321   leftController:(0.26, 1.04, 0.31)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.08)  leftControllerVel:(0.09, 0.06, -0.06)  rightControllerVel:(0.05, 0.02, 0.09)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 17:02:36:329   leftController:(0.27, 1.04, 0.30)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.09)  leftControllerVel:(0.09, 0.06, -0.06)  rightControllerVel:(0.05, 0.02, 0.09)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 17:02:36:341   leftController:(0.27, 1.04, 0.30)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.09)  leftControllerVel:(0.09, 0.07, -0.06)  rightControllerVel:(0.05, 0.02, 0.09)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 17:02:36:352   leftController:(0.27, 1.04, 0.30)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.09)  leftControllerVel:(0.09, 0.07, -0.06)  rightControllerVel:(0.05, 0.02, 0.09)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 17:02:36:363   leftController:(0.27, 1.04, 0.30)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.09)  leftControllerVel:(0.08, 0.06, -0.06)  rightControllerVel:(0.05, 0.02, 0.10)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 17:02:36:376   leftController:(0.27, 1.04, 0.30)  rightController:(-0.13, 1.07, 0.30)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.05, 1.74, 0.09)  leftControllerVel:(0.08, 0.06, -0.06)  rightControllerVel:(0.06, 0.03, 0.10)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
