2021.4.9 16:36:30:312   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:321   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:333   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:342   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:350   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:361   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.03, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:372   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.03, 0.00, -0.01)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:387   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.03, 0.00, -0.01)  rightControllerVel:(0.03, 0.00, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:396   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.03, 0.00, -0.01)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:406   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.04, 0.00, -0.01)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:418   leftController:(0.08, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.04, 0.00, -0.01)  rightControllerVel:(0.05, 0.01, 0.02)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:430   leftController:(0.08, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.34)  leftControllerVel:(0.05, 0.00, -0.01)  rightControllerVel:(0.05, 0.01, 0.03)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:440   leftController:(0.08, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.34)  leftControllerVel:(0.05, -0.01, -0.01)  rightControllerVel:(0.06, 0.01, 0.03)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:450   leftController:(0.08, 1.14, -0.06)  rightController:(-0.21, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.34)  leftControllerVel:(0.06, -0.01, -0.02)  rightControllerVel:(0.06, 0.02, 0.03)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:469   leftController:(0.08, 1.14, -0.06)  rightController:(-0.21, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.34)  leftControllerVel:(0.06, -0.01, -0.02)  rightControllerVel:(0.07, 0.02, 0.03)  leftTrackerVel:(0.01, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
