2021.4.15 19:48:25:40   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.03, 0.01)  rightControllerVel:(-0.05, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:48:25:51   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.05, -0.03, 0.02)  rightControllerVel:(-0.05, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:63   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.04, 0.02)  rightControllerVel:(-0.05, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:74   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.04, 0.02)  rightControllerVel:(-0.05, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:85   leftController:(0.33, 1.24, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.05, 0.02)  rightControllerVel:(-0.05, 0.01, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:48:25:96   leftController:(0.33, 1.23, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.06, 0.02)  rightControllerVel:(-0.06, 0.01, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:108   leftController:(0.33, 1.23, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.06, 0.02)  rightControllerVel:(-0.06, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:118   leftController:(0.33, 1.23, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.07, 0.02)  rightControllerVel:(-0.06, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:129   leftController:(0.33, 1.23, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.07, 0.02)  rightControllerVel:(-0.07, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:48:25:141   leftController:(0.32, 1.23, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.08, 0.02)  rightControllerVel:(-0.07, 0.02, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:48:25:154   leftController:(0.32, 1.23, 0.37)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.08, 0.02)  rightControllerVel:(-0.07, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:25:163   leftController:(0.32, 1.23, 0.37)  rightController:(0.14, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.62, 0.12)  leftControllerVel:(-0.04, -0.09, 0.02)  rightControllerVel:(-0.08, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:48:25:174   leftController:(0.32, 1.23, 0.37)  rightController:(0.14, 1.21, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.62, 0.12)  leftControllerVel:(-0.04, -0.09, 0.02)  rightControllerVel:(-0.08, 0.01, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:48:25:186   leftController:(0.32, 1.23, 0.37)  rightController:(0.14, 1.21, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.62, 0.12)  leftControllerVel:(-0.04, -0.08, 0.02)  rightControllerVel:(-0.08, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:48:25:198   leftController:(0.32, 1.23, 0.37)  rightController:(0.14, 1.21, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.62, 0.12)  leftControllerVel:(-0.04, -0.08, 0.02)  rightControllerVel:(-0.09, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
