2021.4.11 19:02:53:638   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.02, 0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:650   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.02, 0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:661   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, 0.04, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:671   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, 0.05, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:682   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, 0.05, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:694   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, 0.06, -0.01)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:705   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, 0.08, -0.01)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:716   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.01, 0.09, -0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:727   leftController:(0.29, 1.25, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.01, 0.10, -0.02)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:739   leftController:(0.29, 1.25, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.02, 0.12, -0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:750   leftController:(0.29, 1.25, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.03, 0.13, -0.03)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:760   leftController:(0.29, 1.25, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.03, 0.14, -0.03)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:772   leftController:(0.29, 1.25, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.04, 0.15, -0.03)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:783   leftController:(0.29, 1.25, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.05, 0.15, -0.04)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
