2021.4.11 20:02:23:511   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.13, -0.17, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:523   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.11, -0.10, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:540   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.08, -0.04, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:551   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.05, -0.01, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:561   leftController:(0.36, 1.15, 0.20)  rightController:(0.04, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.04, -0.01, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:573   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.02, -0.01, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:584   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.00, -0.02, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:593   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.00, -0.03, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:605   leftController:(0.36, 1.15, 0.20)  rightController:(0.04, 1.19, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.00, -0.04, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:615   leftController:(0.36, 1.15, 0.20)  rightController:(0.04, 1.19, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.05)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.07, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
