2021.4.11 19:06:30:902   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:912   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:923   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:934   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:946   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:964   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:973   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:981   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:990   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:31:02   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:31:14   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:31:24   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:31:35   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:31:46   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:31:58   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
