2021.4.11 10:23:46:721   leftController:(-0.07, 1.25, 0.05)  rightController:(0.15, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.70, -0.16)  leftControllerVel:(-0.21, -0.25, 0.09)  rightControllerVel:(-0.16, -0.10, 0.06)  leftTrackerVel:(0.01, -0.04, 0.02)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:733   leftController:(-0.08, 1.25, 0.05)  rightController:(0.14, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.04, 1.70, -0.16)  leftControllerVel:(-0.21, -0.33, 0.13)  rightControllerVel:(-0.18, -0.12, 0.05)  leftTrackerVel:(0.01, -0.04, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:744   leftController:(-0.08, 1.24, 0.05)  rightController:(0.14, 1.14, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.04, 0.21, -0.28)  headset:(0.04, 1.70, -0.16)  leftControllerVel:(-0.21, -0.38, 0.14)  rightControllerVel:(-0.18, -0.13, 0.05)  leftTrackerVel:(0.02, -0.04, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:755   leftController:(-0.08, 1.24, 0.05)  rightController:(0.14, 1.14, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.05, 0.21, -0.28)  headset:(0.04, 1.70, -0.16)  leftControllerVel:(-0.21, -0.46, 0.16)  rightControllerVel:(-0.19, -0.14, 0.04)  leftTrackerVel:(0.01, -0.04, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 10:23:46:765   leftController:(-0.08, 1.23, 0.05)  rightController:(0.14, 1.14, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.04, 0.21, -0.28)  headset:(0.04, 1.70, -0.16)  leftControllerVel:(-0.21, -0.53, 0.17)  rightControllerVel:(-0.21, -0.17, 0.05)  leftTrackerVel:(0.01, -0.05, -0.02)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 10:23:46:777   leftController:(-0.09, 1.22, 0.06)  rightController:(0.14, 1.14, 0.01)  leftTracker:(-0.21, 0.20, -0.28)  rightTracker:(0.04, 0.21, -0.28)  headset:(0.04, 1.70, -0.16)  leftControllerVel:(-0.21, -0.60, 0.17)  rightControllerVel:(-0.22, -0.21, 0.05)  leftTrackerVel:(0.01, -0.05, -0.03)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 10:23:46:788   leftController:(-0.09, 1.22, 0.06)  rightController:(0.13, 1.14, 0.01)  leftTracker:(-0.21, 0.20, -0.28)  rightTracker:(0.04, 0.21, -0.28)  headset:(0.03, 1.70, -0.16)  leftControllerVel:(-0.22, -0.67, 0.16)  rightControllerVel:(-0.23, -0.26, 0.06)  leftTrackerVel:(0.00, -0.06, -0.04)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 10:23:46:799   leftController:(-0.09, 1.21, 0.06)  rightController:(0.13, 1.13, 0.01)  leftTracker:(-0.21, 0.20, -0.28)  rightTracker:(0.04, 0.21, -0.28)  headset:(0.03, 1.70, -0.16)  leftControllerVel:(-0.24, -0.72, 0.14)  rightControllerVel:(-0.24, -0.30, 0.06)  leftTrackerVel:(0.00, -0.06, -0.06)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 10:23:46:813   leftController:(-0.09, 1.20, 0.06)  rightController:(0.13, 1.13, 0.01)  leftTracker:(-0.21, 0.20, -0.27)  rightTracker:(0.04, 0.20, -0.28)  headset:(0.03, 1.70, -0.16)  leftControllerVel:(-0.27, -0.76, 0.11)  rightControllerVel:(-0.25, -0.37, 0.06)  leftTrackerVel:(0.00, -0.06, -0.07)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 10:23:46:821   leftController:(-0.10, 1.19, 0.06)  rightController:(0.12, 1.12, 0.01)  leftTracker:(-0.21, 0.20, -0.28)  rightTracker:(0.04, 0.20, -0.28)  headset:(0.02, 1.70, -0.16)  leftControllerVel:(-0.28, -0.78, 0.09)  rightControllerVel:(-0.25, -0.42, 0.05)  leftTrackerVel:(0.00, -0.07, -0.07)  rightTrackerVel:(-0.02, 0.00, 0.00)
