2021.4.10 10:06:23:939   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.26, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.01, 0.01)  rightControllerVel:(0.04, -0.20, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:947   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.26, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.01, 0.01)  rightControllerVel:(0.03, -0.21, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:960   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.25, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.00, 0.01)  rightControllerVel:(0.03, -0.21, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:968   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.25, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.00, 0.00)  rightControllerVel:(0.03, -0.22, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:979   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.25, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.00, 0.00)  rightControllerVel:(0.02, -0.22, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:990   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.25, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.00, 0.00)  rightControllerVel:(0.01, -0.21, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:04   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.24, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.00, 0.00)  rightControllerVel:(0.01, -0.21, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:12   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.24, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.01, 0.00)  rightControllerVel:(0.01, -0.21, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:24   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.24, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.01, -0.01)  rightControllerVel:(0.02, -0.20, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:34   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.24, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.02, -0.01)  rightControllerVel:(0.02, -0.20, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
