2021.4.10 11:24:58:227   leftController:(0.25, 1.13, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.03, -0.14, -0.04)  rightControllerVel:(0.05, -0.12, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.10 11:24:58:245   leftController:(0.25, 1.13, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.03, -0.17, -0.04)  rightControllerVel:(0.05, -0.12, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.10 11:24:58:256   leftController:(0.25, 1.13, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.04, -0.19, -0.05)  rightControllerVel:(0.04, -0.12, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.03)
2021.4.10 11:24:58:269   leftController:(0.25, 1.13, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.04, -0.20, -0.05)  rightControllerVel:(0.04, -0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, -0.03)
2021.4.10 11:24:58:281   leftController:(0.25, 1.12, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.04, -0.20, -0.05)  rightControllerVel:(0.04, -0.11, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.01, 0.01, -0.04)
2021.4.10 11:24:58:290   leftController:(0.25, 1.12, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.04, -0.21, -0.06)  rightControllerVel:(0.03, -0.10, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.01, 0.01, -0.05)
2021.4.10 11:24:58:299   leftController:(0.25, 1.12, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.04, -0.21, -0.06)  rightControllerVel:(0.03, -0.10, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.01, 0.01, -0.05)
2021.4.10 11:24:58:307   leftController:(0.25, 1.12, -0.45)  rightController:(0.39, 1.14, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.04, -0.21, -0.07)  rightControllerVel:(0.03, -0.09, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.01, 0.01, -0.06)
2021.4.10 11:24:58:317   leftController:(0.25, 1.12, -0.45)  rightController:(0.39, 1.13, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.05, -0.21, -0.07)  rightControllerVel:(0.03, -0.09, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.07)
2021.4.10 11:24:58:328   leftController:(0.25, 1.11, -0.45)  rightController:(0.39, 1.13, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.05, -0.20, -0.07)  rightControllerVel:(0.02, -0.08, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.07)
2021.4.10 11:24:58:340   leftController:(0.25, 1.11, -0.45)  rightController:(0.39, 1.13, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.24, 1.69, -0.70)  leftControllerVel:(0.05, -0.20, -0.07)  rightControllerVel:(0.03, -0.08, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.01, -0.08)
2021.4.10 11:24:58:352   leftController:(0.25, 1.11, -0.45)  rightController:(0.39, 1.13, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.24, 1.69, -0.70)  leftControllerVel:(0.05, -0.19, -0.07)  rightControllerVel:(0.03, -0.07, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.03, 0.01, -0.10)
2021.4.10 11:24:58:363   leftController:(0.25, 1.11, -0.46)  rightController:(0.39, 1.13, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.24, 1.69, -0.70)  leftControllerVel:(0.03, -0.18, -0.07)  rightControllerVel:(0.03, -0.07, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.04, 0.01, -0.11)
2021.4.10 11:24:58:375   leftController:(0.25, 1.11, -0.46)  rightController:(0.39, 1.13, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.24, 1.68, -0.70)  leftControllerVel:(0.02, -0.17, -0.07)  rightControllerVel:(0.03, -0.06, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.05, 0.01, -0.12)
