2021.4.10 19:15:34:95   leftController:(-0.25, 0.86, -0.49)  rightController:(0.00, 0.90, -0.50)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.07, 1.58, -0.64)  leftControllerVel:(0.04, -0.06, -0.02)  rightControllerVel:(-1.30, 0.08, -0.53)  leftTrackerVel:(0.00, -0.02, 0.01)  rightTrackerVel:(0.00, 0.02, -0.04)
2021.4.10 19:15:34:104   leftController:(-0.25, 0.86, -0.49)  rightController:(-0.01, 0.90, -0.50)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.08, 1.58, -0.64)  leftControllerVel:(0.04, -0.06, -0.02)  rightControllerVel:(-1.03, -0.03, -0.45)  leftTrackerVel:(0.00, -0.02, 0.01)  rightTrackerVel:(0.00, 0.02, -0.04)
2021.4.10 19:15:34:125   leftController:(-0.25, 0.86, -0.49)  rightController:(-0.01, 0.90, -0.50)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.08, 1.58, -0.65)  leftControllerVel:(0.04, -0.05, -0.02)  rightControllerVel:(0.02, -0.10, 0.18)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.01, 0.02, -0.03)
2021.4.10 19:15:34:136   leftController:(-0.25, 0.86, -0.49)  rightController:(0.00, 0.90, -0.50)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.08, 1.58, -0.65)  leftControllerVel:(0.04, -0.04, -0.02)  rightControllerVel:(0.39, -0.08, 0.36)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.01, 0.02, -0.03)
2021.4.10 19:15:34:148   leftController:(-0.25, 0.86, -0.49)  rightController:(0.01, 0.90, -0.50)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.08, 1.58, -0.65)  leftControllerVel:(0.05, -0.03, -0.02)  rightControllerVel:(0.68, -0.10, 0.50)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.02, 0.02, -0.03)
2021.4.10 19:15:34:158   leftController:(-0.25, 0.86, -0.49)  rightController:(0.02, 0.89, -0.49)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.08, 0.26, -0.51)  headset:(-0.09, 1.58, -0.65)  leftControllerVel:(0.05, -0.01, -0.01)  rightControllerVel:(1.10, -0.20, 0.59)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.02, 0.02, -0.03)
2021.4.10 19:15:34:166   leftController:(-0.25, 0.86, -0.49)  rightController:(0.04, 0.89, -0.49)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.08, 0.26, -0.51)  headset:(-0.09, 1.58, -0.65)  leftControllerVel:(0.04, 0.00, -0.01)  rightControllerVel:(1.29, -0.23, 0.55)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.02, 0.02, -0.03)
2021.4.10 19:15:34:180   leftController:(-0.24, 0.86, -0.49)  rightController:(0.06, 0.89, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.08, 0.26, -0.51)  headset:(-0.09, 1.58, -0.65)  leftControllerVel:(0.04, 0.02, -0.01)  rightControllerVel:(1.43, -0.31, 0.34)  leftTrackerVel:(0.01, -0.02, 0.00)  rightTrackerVel:(0.01, 0.02, -0.02)
2021.4.10 19:15:34:189   leftController:(-0.24, 0.86, -0.49)  rightController:(0.07, 0.88, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.08, 0.26, -0.51)  headset:(-0.09, 1.58, -0.65)  leftControllerVel:(0.03, 0.03, -0.01)  rightControllerVel:(1.29, -0.40, 0.16)  leftTrackerVel:(0.01, -0.02, 0.00)  rightTrackerVel:(0.01, 0.02, -0.02)
2021.4.10 19:15:34:198   leftController:(-0.24, 0.86, -0.49)  rightController:(0.08, 0.88, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.08, 0.26, -0.52)  headset:(-0.09, 1.58, -0.65)  leftControllerVel:(0.02, 0.03, -0.02)  rightControllerVel:(1.18, -0.39, 0.11)  leftTrackerVel:(0.01, -0.02, 0.00)  rightTrackerVel:(0.01, 0.02, -0.01)
