2021.4.10 20:12:31:256   leftController:(-0.31, 1.51, 0.21)  rightController:(-0.01, 0.96, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.14, 1.58, 0.11)  leftControllerVel:(-0.16, 0.51, -0.36)  rightControllerVel:(-0.17, -0.10, -0.09)  leftTrackerVel:(-0.01, -0.01, -0.03)  rightTrackerVel:(-0.02, 0.02, -0.02)
2021.4.10 20:12:31:269   leftController:(-0.31, 1.51, 0.21)  rightController:(-0.01, 0.96, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.14, 1.57, 0.11)  leftControllerVel:(-0.15, 0.46, -0.33)  rightControllerVel:(-0.16, -0.10, -0.08)  leftTrackerVel:(-0.01, 0.00, -0.03)  rightTrackerVel:(-0.02, 0.02, -0.02)
2021.4.10 20:12:31:280   leftController:(-0.32, 1.52, 0.21)  rightController:(-0.02, 0.96, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.15, 1.57, 0.11)  leftControllerVel:(-0.15, 0.40, -0.30)  rightControllerVel:(-0.15, -0.10, -0.07)  leftTrackerVel:(-0.02, 0.00, -0.03)  rightTrackerVel:(-0.02, 0.02, -0.03)
2021.4.10 20:12:31:291   leftController:(-0.32, 1.52, 0.20)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.15, 1.57, 0.11)  leftControllerVel:(-0.15, 0.36, -0.29)  rightControllerVel:(-0.14, -0.09, -0.06)  leftTrackerVel:(-0.02, 0.00, -0.04)  rightTrackerVel:(-0.01, 0.02, -0.04)
2021.4.10 20:12:31:302   leftController:(-0.32, 1.53, 0.20)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.15, 1.57, 0.12)  leftControllerVel:(-0.14, 0.27, -0.26)  rightControllerVel:(-0.14, -0.09, -0.06)  leftTrackerVel:(-0.03, 0.01, -0.04)  rightTrackerVel:(-0.01, 0.02, -0.05)
2021.4.10 20:12:31:312   leftController:(-0.32, 1.53, 0.20)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.23, 0.11)  headset:(-0.16, 1.57, 0.12)  leftControllerVel:(-0.13, 0.23, -0.26)  rightControllerVel:(-0.12, -0.07, -0.05)  leftTrackerVel:(-0.03, 0.01, -0.04)  rightTrackerVel:(-0.01, 0.01, -0.07)
2021.4.10 20:12:31:330   leftController:(-0.32, 1.53, 0.19)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.23, 0.12)  headset:(-0.16, 1.57, 0.12)  leftControllerVel:(-0.10, 0.19, -0.23)  rightControllerVel:(-0.10, -0.05, -0.03)  leftTrackerVel:(-0.02, 0.00, -0.03)  rightTrackerVel:(-0.02, 0.00, -0.10)
2021.4.10 20:12:31:339   leftController:(-0.32, 1.53, 0.19)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.23, 0.12)  headset:(-0.16, 1.57, 0.12)  leftControllerVel:(-0.07, 0.17, -0.21)  rightControllerVel:(-0.09, -0.04, -0.03)  leftTrackerVel:(-0.02, 0.00, -0.02)  rightTrackerVel:(-0.03, -0.01, -0.12)
2021.4.10 20:12:31:348   leftController:(-0.32, 1.53, 0.19)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.23, 0.12)  headset:(-0.17, 1.57, 0.12)  leftControllerVel:(-0.06, 0.15, -0.19)  rightControllerVel:(-0.07, -0.03, -0.02)  leftTrackerVel:(-0.02, -0.01, -0.02)  rightTrackerVel:(-0.04, -0.01, -0.14)
2021.4.10 20:12:31:359   leftController:(-0.32, 1.54, 0.19)  rightController:(-0.02, 0.95, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.23, 0.12)  headset:(-0.17, 1.56, 0.12)  leftControllerVel:(-0.05, 0.13, -0.17)  rightControllerVel:(-0.06, -0.03, -0.01)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(-0.04, -0.02, -0.17)
